Team,On,Against,wins_on,losses_on,wins_against,losses_against
Pelicans,63.8888888889,48.4848484848,23.0,13.0,16.0,17.0
Spurs,69.387755102,77.2727272727,34.0,15.0,17.0,5.0
Lakers,64.8648648649,73.5294117647,24.0,13.0,25.0,9.0
Knicks,54.5454545455,63.0434782609,12.0,10.0,29.0,17.0
Heat,60.7142857143,63.4146341463,17.0,11.0,26.0,15.0
Pacers,60.0,65.5172413793,24.0,16.0,19.0,10.0
Celtics,76.1904761905,56.6666666667,32.0,10.0,17.0,13.0
Hornets,63.8888888889,68.5714285714,23.0,13.0,24.0,11.0
Grizzlies,60.0,62.5,18.0,12.0,25.0,15.0
Trailblazers,60.4651162791,67.8571428571,26.0,17.0,19.0,9.0
Raptors,55.2631578947,70.2702702703,21.0,17.0,26.0,11.0
Jazz,73.3333333333,58.3333333333,22.0,8.0,21.0,15.0
Kings,40.0,59.0909090909,10.0,15.0,26.0,18.0
Nuggets,66.6666666667,68.1818181818,18.0,9.0,30.0,14.0
Suns,64.7058823529,58.3333333333,22.0,12.0,21.0,15.0
Magic,69.696969697,60.0,23.0,10.0,24.0,16.0
Cavaliers,61.7021276596,74.0740740741,29.0,18.0,20.0,7.0
Mavericks,50.0,70.0,19.0,19.0,21.0,9.0
Clippers,58.5365853659,66.6666666667,24.0,17.0,16.0,8.0
Timberwolves,46.4285714286,66.6666666667,13.0,15.0,26.0,13.0
Bulls,63.1578947368,69.4444444444,24.0,14.0,25.0,11.0
Bucks,74.1935483871,60.5263157895,23.0,8.0,23.0,15.0
Hawks,71.4285714286,40.0,30.0,12.0,12.0,18.0
Thunder,58.9743589744,64.5161290323,23.0,16.0,20.0,11.0
Pistons,61.1111111111,56.7567567568,22.0,14.0,21.0,16.0
Wizards,59.375,69.2307692308,19.0,13.0,27.0,12.0
Seventysixers,76.1904761905,57.7777777778,16.0,5.0,26.0,19.0
Rockets,63.1578947368,53.125,24.0,14.0,17.0,15.0
Warriors,60.8695652174,56.0,28.0,18.0,14.0,11.0
Nets,62.962962963,58.6956521739,17.0,10.0,27.0,19.0
